caractere,pinyin,initial_raw,finale,groupe_rime,type,tone,nasal,initial,lieu,polarite
磹,dian4,d,ian,Médiale-i,nasal,4,1,d,Dentale,1P+2N
磺,huang2,h,uang,Médiale-u,nasal,2,1,h,Vélaire,2P+1N
磻,pan2,p,an,Nasal,nasal,2,1,p,Labiale,2P+1N
礀,jian4,j,ian,Médiale-i,nasal,4,1,j,Palatale,1P+2N
礁,jiao1,j,iao,Médiale-i,oral,1,0,j,Palatale,1P+2N
礅,dun1,d,un,Médiale-u,nasal,1,1,d,Dentale,1P+2N
礌,lei2,l,ei,Simple,oral,2,0,l,Dentale,3P
礓,jiang1,j,iang,Médiale-i,nasal,1,1,j,Palatale,1P+2N
礗,pin1,p,in,Médiale-i,nasal,1,1,p,Labiale,2P+1N
礚,ke1,k,e,Simple,oral,1,0,k,Vélaire,1P+2N
礜,yu4,y,ü,Simple,oral,4,0,y,Semi-voyelle,2P+1N
礝,ruan3,r,uan,Médiale-u,nasal,3,1,r,Rétroflexe,1P+2N
礞,meng2,m,eng,Nasal,nasal,2,1,m,Labiale,1P+2N
礤,ca3,c,a,Simple,oral,3,0,c,Sifflante,1P+2N
礧,lei4,l,ei,Simple,oral,4,0,l,Dentale,3P
礮,pao4,p,ao,Simple,oral,4,0,p,Labiale,2P+1N
礴,bo2,b,o,Simple,oral,2,0,b,Labiale,1P+2N
礵,shuang1,sh,uang,Médiale-u,nasal,1,1,sh,Rétroflexe,1P+2N
示,shi4,sh,i,Simple,oral,4,0,sh,Rétroflexe,1P+2N
礼,li3,l,i,Simple,oral,3,0,l,Dentale,3P
礽,reng2,r,eng,Nasal,nasal,2,1,r,Rétroflexe,1P+2N
社,she4,sh,e,Simple,oral,4,0,sh,Rétroflexe,1P+2N
礿,yue4,y,üe,Complexe,oral,4,0,y,Semi-voyelle,2P+1N
祀,si4,s,i,Simple,oral,4,0,s,Sifflante,1P+2N
祁,qi2,q,i,Simple,oral,2,0,q,Palatale,2P+1N
祂,ta1,t,a,Simple,oral,1,0,t,Dentale,3P
祃,ma4,m,a,Simple,oral,4,0,m,Labiale,1P+2N
祄,xie4,x,ie,Médiale-i,oral,4,0,x,Palatale,1P+2N
祅,yao1,y,iao,Médiale-i,oral,1,0,y,Semi-voyelle,2P+1N
祆,xian1,x,ian,Médiale-i,nasal,1,1,x,Palatale,1P+2N
祇,qi2,q,i,Simple,oral,2,0,q,Palatale,2P+1N
祈,qi2,q,i,Simple,oral,2,0,q,Palatale,2P+1N
祉,zhi3,zh,i,Simple,oral,3,0,zh,Rétroflexe,1P+2N
祊,beng1,b,eng,Nasal,nasal,1,1,b,Labiale,1P+2N
祍,ren4,r,en,Nasal,nasal,4,1,r,Rétroflexe,1P+2N
祎,yi1,y,i,Simple,oral,1,0,y,Semi-voyelle,2P+1N
祏,shi2,sh,i,Simple,oral,2,0,sh,Rétroflexe,1P+2N
祐,you4,y,iu,Médiale-i,oral,4,0,y,Semi-voyelle,2P+1N
祓,fu2,f,u,Simple,oral,2,0,f,Labiale,2P+1N
祔,fu4,f,u,Simple,oral,4,0,f,Labiale,2P+1N
祖,zu3,z,u,Simple,oral,3,0,z,Sifflante,1P+2N
祗,zhi1,zh,i,Simple,oral,1,0,zh,Rétroflexe,1P+2N
祘,suan4,s,uan,Médiale-u,nasal,4,1,s,Sifflante,1P+2N
祚,zuo4,z,uo,Médiale-u,oral,4,0,z,Sifflante,1P+2N
祛,qu1,q,ü,Simple,oral,1,0,q,Palatale,2P+1N
祜,hu4,h,u,Simple,oral,4,0,h,Vélaire,2P+1N
祝,zhu4,zh,u,Simple,oral,4,0,zh,Rétroflexe,1P+2N
神,shen2,sh,en,Nasal,nasal,2,1,sh,Rétroflexe,1P+2N
祟,sui4,s,ui,Médiale-u,oral,4,0,s,Sifflante,1P+2N
祠,ci2,c,i,Simple,oral,2,0,c,Sifflante,1P+2N
祢,ni3,n,i,Simple,oral,3,0,n,Dentale,1P+2N
祥,xiang2,x,iang,Médiale-i,nasal,2,1,x,Palatale,1P+2N
祦,wu2,w,u,Simple,oral,2,0,w,Semi-voyelle,2P+1N
祧,tiao1,t,iao,Médiale-i,oral,1,0,t,Dentale,3P
票,piao4,p,iao,Médiale-i,oral,4,0,p,Labiale,2P+1N
祫,xia2,x,ia,Médiale-i,oral,2,0,x,Palatale,1P+2N
祭,ji4,j,i,Simple,oral,4,0,j,Palatale,1P+2N
祯,zhen1,zh,en,Nasal,nasal,1,1,zh,Rétroflexe,1P+2N
祲,jin1,j,in,Médiale-i,nasal,1,1,j,Palatale,1P+2N
祷,dao3,d,ao,Simple,oral,3,0,d,Dentale,1P+2N
祸,huo4,h,uo,Médiale-u,oral,4,0,h,Vélaire,2P+1N
祺,qi2,q,i,Simple,oral,2,0,q,Palatale,2P+1N
祻,gu4,g,u,Simple,oral,4,0,g,Vélaire,1P+2N
祼,guan4,g,uan,Médiale-u,nasal,4,1,g,Vélaire,1P+2N
禀,bing3,b,ing,Médiale-i,nasal,3,1,b,Labiale,1P+2N
