caractere,pinyin,initial_raw,finale,groupe_rime,type,tone,nasal,initial,lieu,polarite
一,yi1,y,i,Simple,oral,1,0,y,Semi-voyelle,2P+1N
丁,ding1,d,ing,Médiale-i,nasal,1,1,d,Dentale,1P+2N
丂,kao3,k,ao,Simple,oral,3,0,k,Vélaire,1P+2N
七,qi1,q,i,Simple,oral,1,0,q,Palatale,2P+1N
丄,shang4,sh,ang,Nasal,nasal,4,1,sh,Rétroflexe,1P+2N
丅,xia4,x,ia,Médiale-i,oral,4,0,x,Palatale,1P+2N
万,wan4,w,uan,Médiale-u,nasal,4,1,w,Semi-voyelle,2P+1N
丈,zhang4,zh,ang,Nasal,nasal,4,1,zh,Rétroflexe,1P+2N
三,san1,s,an,Nasal,nasal,1,1,s,Sifflante,1P+2N
上,shang4,sh,ang,Nasal,nasal,4,1,sh,Rétroflexe,1P+2N
下,xia4,x,ia,Médiale-i,oral,4,0,x,Palatale,1P+2N
丌,ji1,j,i,Simple,oral,1,0,j,Palatale,1P+2N
不,bu4,b,u,Simple,oral,4,0,b,Labiale,1P+2N
与,yu3,y,ü,Simple,oral,3,0,y,Semi-voyelle,2P+1N
丏,mian3,m,ian,Médiale-i,nasal,3,1,m,Labiale,1P+2N
丐,gai4,g,ai,Simple,oral,4,0,g,Vélaire,1P+2N
丑,chou3,ch,ou,Simple,oral,3,0,ch,Rétroflexe,3P
丒,chou3,ch,ou,Simple,oral,3,0,ch,Rétroflexe,3P
专,zhuan1,zh,uan,Médiale-u,nasal,1,1,zh,Rétroflexe,1P+2N
且,qie3,q,ie,Médiale-i,oral,3,0,q,Palatale,2P+1N
丕,pi1,p,i,Simple,oral,1,0,p,Labiale,2P+1N
世,shi4,sh,i,Simple,oral,4,0,sh,Rétroflexe,1P+2N
丗,shi4,sh,i,Simple,oral,4,0,sh,Rétroflexe,1P+2N
丘,qiu1,q,iu,Médiale-i,oral,1,0,q,Palatale,2P+1N
丙,bing3,b,ing,Médiale-i,nasal,3,1,b,Labiale,1P+2N
业,ye4,y,ie,Médiale-i,oral,4,0,y,Semi-voyelle,2P+1N
丛,cong2,c,ong,Médiale-u,nasal,2,1,c,Sifflante,1P+2N
东,dong1,d,ong,Médiale-u,nasal,1,1,d,Dentale,1P+2N
丝,si1,s,i,Simple,oral,1,0,s,Sifflante,1P+2N
丞,cheng2,ch,eng,Nasal,nasal,2,1,ch,Rétroflexe,3P
丠,qiu1,q,iu,Médiale-i,oral,1,0,q,Palatale,2P+1N
両,liang3,l,iang,Médiale-i,nasal,3,1,l,Dentale,3P
丢,diu1,d,iu,Médiale-i,oral,1,0,d,Dentale,1P+2N
丣,you3,y,iu,Médiale-i,oral,3,0,y,Semi-voyelle,2P+1N
两,liang3,l,iang,Médiale-i,nasal,3,1,l,Dentale,3P
严,yan2,y,ian,Médiale-i,nasal,2,1,y,Semi-voyelle,2P+1N
丧,sang1,s,ang,Nasal,nasal,1,1,s,Sifflante,1P+2N
丨,gun3,g,un,Médiale-u,nasal,3,1,g,Vélaire,1P+2N
丩,jiu1,j,iu,Médiale-i,oral,1,0,j,Palatale,1P+2N
个,ge5,g,e,Simple,oral,5,0,g,Vélaire,1P+2N
丫,ya1,y,ia,Médiale-i,oral,1,0,y,Semi-voyelle,2P+1N
丬,qiang2,q,iang,Médiale-i,nasal,2,1,q,Palatale,2P+1N
中,zhong1,zh,ong,Médiale-u,nasal,1,1,zh,Rétroflexe,1P+2N
丮,ji3,j,i,Simple,oral,3,0,j,Palatale,1P+2N
丰,feng1,f,eng,Nasal,nasal,1,1,f,Labiale,2P+1N
丱,guan4,g,uan,Médiale-u,nasal,4,1,g,Vélaire,1P+2N
串,chuan4,ch,uan,Médiale-u,nasal,4,1,ch,Rétroflexe,3P
丳,chan3,ch,an,Nasal,nasal,3,1,ch,Rétroflexe,3P
临,lin2,l,in,Médiale-i,nasal,2,1,l,Dentale,3P
丵,zhuo2,zh,uo,Médiale-u,oral,2,0,zh,Rétroflexe,1P+2N
丶,zhu3,zh,u,Simple,oral,3,0,zh,Rétroflexe,1P+2N
丷,ba1,b,a,Simple,oral,1,0,b,Labiale,1P+2N
丸,wan2,w,uan,Médiale-u,nasal,2,1,w,Semi-voyelle,2P+1N
丹,dan1,d,an,Nasal,nasal,1,1,d,Dentale,1P+2N
为,wei2,w,ui,Médiale-u,oral,2,0,w,Semi-voyelle,2P+1N
主,zhu3,zh,u,Simple,oral,3,0,zh,Rétroflexe,1P+2N
丼,dong4,d,ong,Médiale-u,nasal,4,1,d,Dentale,1P+2N
丽,li4,l,i,Simple,oral,4,0,l,Dentale,3P
举,ju3,j,ü,Simple,oral,3,0,j,Palatale,1P+2N
丿,pie3,p,ie,Médiale-i,oral,3,0,p,Labiale,2P+1N
乀,fu2,f,u,Simple,oral,2,0,f,Labiale,2P+1N
乂,yi4,y,i,Simple,oral,4,0,y,Semi-voyelle,2P+1N
乃,nai3,n,ai,Simple,oral,3,0,n,Dentale,1P+2N
久,jiu3,j,iu,Médiale-i,oral,3,0,j,Palatale,1P+2N
乆,jiu3,j,iu,Médiale-i,oral,3,0,j,Palatale,1P+2N
乇,tuo1,t,uo,Médiale-u,oral,1,0,t,Dentale,3P
么,me5,m,e,Simple,oral,5,0,m,Labiale,1P+2N
义,yi4,y,i,Simple,oral,4,0,y,Semi-voyelle,2P+1N
之,zhi1,zh,i,Simple,oral,1,0,zh,Rétroflexe,1P+2N
乌,wu1,w,u,Simple,oral,1,0,w,Semi-voyelle,2P+1N
乍,zha4,zh,a,Simple,oral,4,0,zh,Rétroflexe,1P+2N
乎,hu1,h,u,Simple,oral,1,0,h,Vélaire,2P+1N
乏,fa2,f,a,Simple,oral,2,0,f,Labiale,2P+1N
乐,yue4,y,üe,Complexe,oral,4,0,y,Semi-voyelle,2P+1N
乑,zhong4,zh,ong,Médiale-u,nasal,4,1,zh,Rétroflexe,1P+2N
乒,ping1,p,ing,Médiale-i,nasal,1,1,p,Labiale,2P+1N
乓,pang1,p,ang,Nasal,nasal,1,1,p,Labiale,2P+1N
乔,qiao2,q,iao,Médiale-i,oral,2,0,q,Palatale,2P+1N
乕,hu3,h,u,Simple,oral,3,0,h,Vélaire,2P+1N
乖,guai1,g,uai,Médiale-u,oral,1,0,g,Vélaire,1P+2N
乗,cheng2,ch,eng,Nasal,nasal,2,1,ch,Rétroflexe,3P
乘,cheng2,ch,eng,Nasal,nasal,2,1,ch,Rétroflexe,3P
乙,yi3,y,i,Simple,oral,3,0,y,Semi-voyelle,2P+1N
乛,zhe2,zh,e,Simple,oral,2,0,zh,Rétroflexe,1P+2N
乜,nie4,n,ie,Médiale-i,oral,4,0,n,Dentale,1P+2N
九,jiu3,j,iu,Médiale-i,oral,3,0,j,Palatale,1P+2N
乞,qi3,q,i,Simple,oral,3,0,q,Palatale,2P+1N
也,ye3,y,ie,Médiale-i,oral,3,0,y,Semi-voyelle,2P+1N
习,xi2,x,i,Simple,oral,2,0,x,Palatale,1P+2N
乡,xiang1,x,iang,Médiale-i,nasal,1,1,x,Palatale,1P+2N
乢,gai4,g,ai,Simple,oral,4,0,g,Vélaire,1P+2N
乣,jiu3,j,iu,Médiale-i,oral,3,0,j,Palatale,1P+2N
书,shu1,sh,u,Simple,oral,1,0,sh,Rétroflexe,1P+2N
乨,shi3,sh,i,Simple,oral,3,0,sh,Rétroflexe,1P+2N
乩,ji1,j,i,Simple,oral,1,0,j,Palatale,1P+2N
乪,nang1,n,ang,Nasal,nasal,1,1,n,Dentale,1P+2N
乭,shi2,sh,i,Simple,oral,2,0,sh,Rétroflexe,1P+2N
买,mai3,m,ai,Simple,oral,3,0,m,Labiale,1P+2N
乱,luan4,l,uan,Médiale-u,nasal,4,1,l,Dentale,3P
乳,ru3,r,u,Simple,oral,3,0,r,Rétroflexe,1P+2N
乴,xue2,x,üe,Complexe,oral,2,0,x,Palatale,1P+2N
乶,fu3,f,u,Simple,oral,3,0,f,Labiale,2P+1N
乸,na3,n,a,Simple,oral,3,0,n,Dentale,1P+2N
乾,qian2,q,ian,Médiale-i,nasal,2,1,q,Palatale,2P+1N
乿,luan4,l,uan,Médiale-u,nasal,4,1,l,Dentale,3P
亀,gui1,g,ui,Médiale-u,oral,1,0,g,Vélaire,1P+2N
亃,lin2,l,in,Médiale-i,nasal,2,1,l,Dentale,3P
亄,yi4,y,i,Simple,oral,4,0,y,Semi-voyelle,2P+1N
亅,jue2,j,üe,Complexe,oral,2,0,j,Palatale,1P+2N
了,liao3,l,iao,Médiale-i,oral,3,0,l,Dentale,3P
亇,ge4,g,e,Simple,oral,4,0,g,Vélaire,1P+2N
予,yu3,y,ü,Simple,oral,3,0,y,Semi-voyelle,2P+1N
争,zheng1,zh,eng,Nasal,nasal,1,1,zh,Rétroflexe,1P+2N
亊,shi4,sh,i,Simple,oral,4,0,sh,Rétroflexe,1P+2N
事,shi4,sh,i,Simple,oral,4,0,sh,Rétroflexe,1P+2N
亍,chu4,ch,u,Simple,oral,4,0,ch,Rétroflexe,3P
于,yu2,y,ü,Simple,oral,2,0,y,Semi-voyelle,2P+1N
亏,kui1,k,ui,Médiale-u,oral,1,0,k,Vélaire,1P+2N
亐,yu2,y,ü,Simple,oral,2,0,y,Semi-voyelle,2P+1N
云,yun2,y,ün,Complexe,nasal,2,1,y,Semi-voyelle,2P+1N
互,hu4,h,u,Simple,oral,4,0,h,Vélaire,2P+1N
亓,qi2,q,i,Simple,oral,2,0,q,Palatale,2P+1N
五,wu3,w,u,Simple,oral,3,0,w,Semi-voyelle,2P+1N
井,jing3,j,ing,Médiale-i,nasal,3,1,j,Palatale,1P+2N
亖,si4,s,i,Simple,oral,4,0,s,Sifflante,1P+2N
亘,gen4,g,en,Nasal,nasal,4,1,g,Vélaire,1P+2N
亚,ya4,y,ia,Médiale-i,oral,4,0,y,Semi-voyelle,2P+1N
些,xie1,x,ie,Médiale-i,oral,1,0,x,Palatale,1P+2N
亜,ya4,y,ia,Médiale-i,oral,4,0,y,Semi-voyelle,2P+1N
亝,qi2,q,i,Simple,oral,2,0,q,Palatale,2P+1N
亟,ji2,j,i,Simple,oral,2,0,j,Palatale,1P+2N
亠,tou2,t,ou,Simple,oral,2,0,t,Dentale,3P
亡,wang2,w,uang,Médiale-u,nasal,2,1,w,Semi-voyelle,2P+1N
亢,kang4,k,ang,Nasal,nasal,4,1,k,Vélaire,1P+2N
交,jiao1,j,iao,Médiale-i,oral,1,0,j,Palatale,1P+2N
亥,hai4,h,ai,Simple,oral,4,0,h,Vélaire,2P+1N
亦,yi4,y,i,Simple,oral,4,0,y,Semi-voyelle,2P+1N
产,chan3,ch,an,Nasal,nasal,3,1,ch,Rétroflexe,3P
亨,heng1,h,eng,Nasal,nasal,1,1,h,Vélaire,2P+1N
亩,mu3,m,u,Simple,oral,3,0,m,Labiale,1P+2N
享,xiang3,x,iang,Médiale-i,nasal,3,1,x,Palatale,1P+2N
京,jing1,j,ing,Médiale-i,nasal,1,1,j,Palatale,1P+2N
亭,ting2,t,ing,Médiale-i,nasal,2,1,t,Dentale,3P
亮,liang4,l,iang,Médiale-i,nasal,4,1,l,Dentale,3P
亲,qin1,q,in,Médiale-i,nasal,1,1,q,Palatale,2P+1N
亳,bo2,b,o,Simple,oral,2,0,b,Labiale,1P+2N
亵,xie4,x,ie,Médiale-i,oral,4,0,x,Palatale,1P+2N
亶,dan3,d,an,Nasal,nasal,3,1,d,Dentale,1P+2N
亸,duo3,d,uo,Médiale-u,oral,3,0,d,Dentale,1P+2N
亹,men2,m,en,Nasal,nasal,2,1,m,Labiale,1P+2N
人,ren2,r,en,Nasal,nasal,2,1,r,Rétroflexe,1P+2N
亻,ren2,r,en,Nasal,nasal,2,1,r,Rétroflexe,1P+2N
亼,ji2,j,i,Simple,oral,2,0,j,Palatale,1P+2N
亽,ji2,j,i,Simple,oral,2,0,j,Palatale,1P+2N
亿,yi4,y,i,Simple,oral,4,0,y,Semi-voyelle,2P+1N
什,shen2,sh,en,Nasal,nasal,2,1,sh,Rétroflexe,1P+2N
仁,ren2,r,en,Nasal,nasal,2,1,r,Rétroflexe,1P+2N
仂,le4,l,e,Simple,oral,4,0,l,Dentale,3P
仃,ding1,d,ing,Médiale-i,nasal,1,1,d,Dentale,1P+2N
仄,ze4,z,e,Simple,oral,4,0,z,Sifflante,1P+2N
仅,jin3,j,in,Médiale-i,nasal,3,1,j,Palatale,1P+2N
仆,pu2,p,u,Simple,oral,2,0,p,Labiale,2P+1N
仇,chou2,ch,ou,Simple,oral,2,0,ch,Rétroflexe,3P
仈,ba1,b,a,Simple,oral,1,0,b,Labiale,1P+2N
仉,zhang3,zh,ang,Nasal,nasal,3,1,zh,Rétroflexe,1P+2N
今,jin1,j,in,Médiale-i,nasal,1,1,j,Palatale,1P+2N
介,jie4,j,ie,Médiale-i,oral,4,0,j,Palatale,1P+2N
仌,bing1,b,ing,Médiale-i,nasal,1,1,b,Labiale,1P+2N
仍,reng2,r,eng,Nasal,nasal,2,1,r,Rétroflexe,1P+2N
从,cong2,c,ong,Médiale-u,nasal,2,1,c,Sifflante,1P+2N
仏,fo2,f,o,Simple,oral,2,0,f,Labiale,2P+1N
仑,lun2,l,un,Médiale-u,nasal,2,1,l,Dentale,3P
仓,cang1,c,ang,Nasal,nasal,1,1,c,Sifflante,1P+2N
仔,zai3,z,ai,Simple,oral,3,0,z,Sifflante,1P+2N
仕,shi4,sh,i,Simple,oral,4,0,sh,Rétroflexe,1P+2N
他,ta1,t,a,Simple,oral,1,0,t,Dentale,3P
仗,zhang4,zh,ang,Nasal,nasal,4,1,zh,Rétroflexe,1P+2N
付,fu4,f,u,Simple,oral,4,0,f,Labiale,2P+1N
仙,xian1,x,ian,Médiale-i,nasal,1,1,x,Palatale,1P+2N
仚,xian1,x,ian,Médiale-i,nasal,1,1,x,Palatale,1P+2N
仝,tong2,t,ong,Médiale-u,nasal,2,1,t,Dentale,3P
仞,ren4,r,en,Nasal,nasal,4,1,r,Rétroflexe,1P+2N
仟,qian1,q,ian,Médiale-i,nasal,1,1,q,Palatale,2P+1N
仡,ge1,g,e,Simple,oral,1,0,g,Vélaire,1P+2N
代,dai4,d,ai,Simple,oral,4,0,d,Dentale,1P+2N
令,ling4,l,ing,Médiale-i,nasal,4,1,l,Dentale,3P
以,yi3,y,i,Simple,oral,3,0,y,Semi-voyelle,2P+1N
仨,sa1,s,a,Simple,oral,1,0,s,Sifflante,1P+2N
仪,yi2,y,i,Simple,oral,2,0,y,Semi-voyelle,2P+1N
仫,mu4,m,u,Simple,oral,4,0,m,Labiale,1P+2N
们,men5,m,en,Nasal,nasal,5,1,m,Labiale,1P+2N
仮,jia3,j,ia,Médiale-i,oral,3,0,j,Palatale,1P+2N
仰,yang3,y,iang,Médiale-i,nasal,3,1,y,Semi-voyelle,2P+1N
仲,zhong4,zh,ong,Médiale-u,nasal,4,1,zh,Rétroflexe,1P+2N
仳,pi3,p,i,Simple,oral,3,0,p,Labiale,2P+1N
仵,wu3,w,u,Simple,oral,3,0,w,Semi-voyelle,2P+1N
件,jian4,j,ian,Médiale-i,nasal,4,1,j,Palatale,1P+2N
价,jia4,j,ia,Médiale-i,oral,4,0,j,Palatale,1P+2N
任,ren4,r,en,Nasal,nasal,4,1,r,Rétroflexe,1P+2N
份,fen4,f,en,Nasal,nasal,4,1,f,Labiale,2P+1N
仿,fang3,f,ang,Nasal,nasal,3,1,f,Labiale,2P+1N
伀,zhong1,zh,ong,Médiale-u,nasal,1,1,zh,Rétroflexe,1P+2N
企,qi3,q,i,Simple,oral,3,0,q,Palatale,2P+1N
伄,diao4,d,iao,Médiale-i,oral,4,0,d,Dentale,1P+2N
伇,yi4,y,i,Simple,oral,4,0,y,Semi-voyelle,2P+1N
伈,xin3,x,in,Médiale-i,nasal,3,1,x,Palatale,1P+2N
伉,kang4,k,ang,Nasal,nasal,4,1,k,Vélaire,1P+2N
伊,yi1,y,i,Simple,oral,1,0,y,Semi-voyelle,2P+1N
伋,ji2,j,i,Simple,oral,2,0,j,Palatale,1P+2N
伍,wu3,w,u,Simple,oral,3,0,w,Semi-voyelle,2P+1N
伎,ji4,j,i,Simple,oral,4,0,j,Palatale,1P+2N
伏,fu2,f,u,Simple,oral,2,0,f,Labiale,2P+1N
伐,fa2,f,a,Simple,oral,2,0,f,Labiale,2P+1N
休,xiu1,x,iu,Médiale-i,oral,1,0,x,Palatale,1P+2N
伕,fu1,f,u,Simple,oral,1,0,f,Labiale,2P+1N
众,zhong4,zh,ong,Médiale-u,nasal,4,1,zh,Rétroflexe,1P+2N
优,you1,y,iu,Médiale-i,oral,1,0,y,Semi-voyelle,2P+1N
伙,huo3,h,uo,Médiale-u,oral,3,0,h,Vélaire,2P+1N
会,hui4,h,ui,Médiale-u,oral,4,0,h,Vélaire,2P+1N
伛,yu3,y,ü,Simple,oral,3,0,y,Semi-voyelle,2P+1N
伜,cui4,c,ui,Médiale-u,oral,4,0,c,Sifflante,1P+2N
伝,chuan2,ch,uan,Médiale-u,nasal,2,1,ch,Rétroflexe,3P
伞,san3,s,an,Nasal,nasal,3,1,s,Sifflante,1P+2N
伟,wei3,w,ui,Médiale-u,oral,3,0,w,Semi-voyelle,2P+1N
传,chuan2,ch,uan,Médiale-u,nasal,2,1,ch,Rétroflexe,3P
伢,ya2,y,ia,Médiale-i,oral,2,0,y,Semi-voyelle,2P+1N
伣,qian4,q,ian,Médiale-i,nasal,4,1,q,Palatale,2P+1N
伤,shang1,sh,ang,Nasal,nasal,1,1,sh,Rétroflexe,1P+2N
伥,chang1,ch,ang,Nasal,nasal,1,1,ch,Rétroflexe,3P
伦,lun2,l,un,Médiale-u,nasal,2,1,l,Dentale,3P
伧,cang1,c,ang,Nasal,nasal,1,1,c,Sifflante,1P+2N
伩,xin4,x,in,Médiale-i,nasal,4,1,x,Palatale,1P+2N
伪,wei3,w,ui,Médiale-u,oral,3,0,w,Semi-voyelle,2P+1N
伫,zhu4,zh,u,Simple,oral,4,0,zh,Rétroflexe,1P+2N
伭,xian2,x,ian,Médiale-i,nasal,2,1,x,Palatale,1P+2N
伯,bo2,b,o,Simple,oral,2,0,b,Labiale,1P+2N
估,gu1,g,u,Simple,oral,1,0,g,Vélaire,1P+2N
伱,ni3,n,i,Simple,oral,3,0,n,Dentale,1P+2N
伲,ni3,n,i,Simple,oral,3,0,n,Dentale,1P+2N
伴,ban4,b,an,Nasal,nasal,4,1,b,Labiale,1P+2N
伶,ling2,l,ing,Médiale-i,nasal,2,1,l,Dentale,3P
伸,shen1,sh,en,Nasal,nasal,1,1,sh,Rétroflexe,1P+2N
伹,qu1,q,ü,Simple,oral,1,0,q,Palatale,2P+1N
伺,ci4,c,i,Simple,oral,4,0,c,Sifflante,1P+2N
伻,beng1,b,eng,Nasal,nasal,1,1,b,Labiale,1P+2N
似,si4,s,i,Simple,oral,4,0,s,Sifflante,1P+2N
伽,ga1,g,a,Simple,oral,1,0,g,Vélaire,1P+2N
伾,pi1,p,i,Simple,oral,1,0,p,Labiale,2P+1N
佃,dian4,d,ian,Médiale-i,nasal,4,1,d,Dentale,1P+2N
但,dan4,d,an,Nasal,nasal,4,1,d,Dentale,1P+2N
佉,qu1,q,ü,Simple,oral,1,0,q,Palatale,2P+1N
佌,ci3,c,i,Simple,oral,3,0,c,Sifflante,1P+2N
位,wei4,w,ui,Médiale-u,oral,4,0,w,Semi-voyelle,2P+1N
低,di1,d,i,Simple,oral,1,0,d,Dentale,1P+2N
住,zhu4,zh,u,Simple,oral,4,0,zh,Rétroflexe,1P+2N
佐,zuo3,z,uo,Médiale-u,oral,3,0,z,Sifflante,1P+2N
佑,you4,y,iu,Médiale-i,oral,4,0,y,Semi-voyelle,2P+1N
体,ti3,t,i,Simple,oral,3,0,t,Dentale,3P
何,he2,h,e,Simple,oral,2,0,h,Vélaire,2P+1N
佗,tuo2,t,uo,Médiale-u,oral,2,0,t,Dentale,3P
佘,she2,sh,e,Simple,oral,2,0,sh,Rétroflexe,1P+2N
余,yu2,y,ü,Simple,oral,2,0,y,Semi-voyelle,2P+1N
佚,yi4,y,i,Simple,oral,4,0,y,Semi-voyelle,2P+1N
佛,fo2,f,o,Simple,oral,2,0,f,Labiale,2P+1N
作,zuo4,z,uo,Médiale-u,oral,4,0,z,Sifflante,1P+2N
佝,gou1,g,ou,Simple,oral,1,0,g,Vélaire,1P+2N
佞,ning4,n,ing,Médiale-i,nasal,4,1,n,Dentale,1P+2N
佟,tong2,t,ong,Médiale-u,nasal,2,1,t,Dentale,3P
你,ni3,n,i,Simple,oral,3,0,n,Dentale,1P+2N
佡,xian1,x,ian,Médiale-i,nasal,1,1,x,Palatale,1P+2N
佢,qu2,q,ü,Simple,oral,2,0,q,Palatale,2P+1N
佣,yong4,y,iong,Médiale-i,nasal,4,1,y,Semi-voyelle,2P+1N
佤,wa3,w,a,Simple,oral,3,0,w,Semi-voyelle,2P+1N
佥,qian1,q,ian,Médiale-i,nasal,1,1,q,Palatale,2P+1N
佧,ka3,k,a,Simple,oral,3,0,k,Vélaire,1P+2N
佩,pei4,p,ei,Simple,oral,4,0,p,Labiale,2P+1N
佪,huai2,h,uai,Médiale-u,oral,2,0,h,Vélaire,2P+1N
佫,he4,h,e,Simple,oral,4,0,h,Vélaire,2P+1N
佬,lao3,l,ao,Simple,oral,3,0,l,Dentale,3P
佯,yang2,y,iang,Médiale-i,nasal,2,1,y,Semi-voyelle,2P+1N
佰,bai3,b,ai,Simple,oral,3,0,b,Labiale,1P+2N
佱,fa3,f,a,Simple,oral,3,0,f,Labiale,2P+1N
佳,jia1,j,ia,Médiale-i,oral,1,0,j,Palatale,1P+2N
佶,ji2,j,i,Simple,oral,2,0,j,Palatale,1P+2N
佷,hen3,h,en,Nasal,nasal,3,1,h,Vélaire,2P+1N
佸,huo2,h,uo,Médiale-u,oral,2,0,h,Vélaire,2P+1N
佹,gui3,g,ui,Médiale-u,oral,3,0,g,Vélaire,1P+2N
佺,quan2,q,üan,Complexe,nasal,2,1,q,Palatale,2P+1N
佻,tiao1,t,iao,Médiale-i,oral,1,0,t,Dentale,3P
佼,jiao3,j,iao,Médiale-i,oral,3,0,j,Palatale,1P+2N
佽,ci4,c,i,Simple,oral,4,0,c,Sifflante,1P+2N
佾,yi4,y,i,Simple,oral,4,0,y,Semi-voyelle,2P+1N
使,shi3,sh,i,Simple,oral,3,0,sh,Rétroflexe,1P+2N
侀,xing2,x,ing,Médiale-i,nasal,2,1,x,Palatale,1P+2N
侁,shen1,sh,en,Nasal,nasal,1,1,sh,Rétroflexe,1P+2N
侂,tuo1,t,uo,Médiale-u,oral,1,0,t,Dentale,3P
侃,kan3,k,an,Nasal,nasal,3,1,k,Vélaire,1P+2N
侄,zhi2,zh,i,Simple,oral,2,0,zh,Rétroflexe,1P+2N
侅,gai1,g,ai,Simple,oral,1,0,g,Vélaire,1P+2N
侇,yi2,y,i,Simple,oral,2,0,y,Semi-voyelle,2P+1N
侈,chi3,ch,i,Simple,oral,3,0,ch,Rétroflexe,3P
侉,kua3,k,ua,Médiale-u,oral,3,0,k,Vélaire,1P+2N
例,li4,l,i,Simple,oral,4,0,l,Dentale,3P
侌,yin1,y,in,Médiale-i,nasal,1,1,y,Semi-voyelle,2P+1N
侍,shi5,sh,i,Simple,oral,5,0,sh,Rétroflexe,1P+2N
侏,zhu1,zh,u,Simple,oral,1,0,zh,Rétroflexe,1P+2N
侐,xu4,x,ü,Simple,oral,4,0,x,Palatale,1P+2N
侑,you4,y,iu,Médiale-i,oral,4,0,y,Semi-voyelle,2P+1N
侔,mou2,m,ou,Simple,oral,2,0,m,Labiale,1P+2N
侗,dong4,d,ong,Médiale-u,nasal,4,1,d,Dentale,1P+2N
侘,cha4,ch,a,Simple,oral,4,0,ch,Rétroflexe,3P
侚,xun4,x,ün,Complexe,nasal,4,1,x,Palatale,1P+2N
供,gong4,g,ong,Médiale-u,nasal,4,1,g,Vélaire,1P+2N
侜,zhou1,zh,ou,Simple,oral,1,0,zh,Rétroflexe,1P+2N
依,yi1,y,i,Simple,oral,1,0,y,Semi-voyelle,2P+1N
侠,xia2,x,ia,Médiale-i,oral,2,0,x,Palatale,1P+2N
価,jia4,j,ia,Médiale-i,oral,4,0,j,Palatale,1P+2N
侢,dai4,d,ai,Simple,oral,4,0,d,Dentale,1P+2N
侣,lu:3,l,ü,Simple,oral,3,0,l,Dentale,3P
侥,jiao3,j,iao,Médiale-i,oral,3,0,j,Palatale,1P+2N
侦,zhen1,zh,en,Nasal,nasal,1,1,zh,Rétroflexe,1P+2N
侧,ce4,c,e,Simple,oral,4,0,c,Sifflante,1P+2N
侨,qiao2,q,iao,Médiale-i,oral,2,0,q,Palatale,2P+1N
侩,kuai4,k,uai,Médiale-u,oral,4,0,k,Vélaire,1P+2N
侪,chai2,ch,ai,Simple,oral,2,0,ch,Rétroflexe,3P
侬,nong2,n,ong,Médiale-u,nasal,2,1,n,Dentale,1P+2N
侮,wu3,w,u,Simple,oral,3,0,w,Semi-voyelle,2P+1N
侯,hou2,h,ou,Simple,oral,2,0,h,Vélaire,2P+1N
侴,chou3,ch,ou,Simple,oral,3,0,ch,Rétroflexe,3P
侵,qin1,q,in,Médiale-i,nasal,1,1,q,Palatale,2P+1N
侹,ting3,t,ing,Médiale-i,nasal,3,1,t,Dentale,3P
侽,nan2,n,an,Nasal,nasal,2,1,n,Dentale,1P+2N
便,bian4,b,ian,Médiale-i,nasal,4,1,b,Labiale,1P+2N
促,cu4,c,u,Simple,oral,4,0,c,Sifflante,1P+2N
俄,e2,,e,Simple,oral,2,0,Ø,Zero,3N
俅,qiu2,q,iu,Médiale-i,oral,2,0,q,Palatale,2P+1N
俉,wu2,w,u,Simple,oral,2,0,w,Semi-voyelle,2P+1N
俊,jun4,j,ün,Complexe,nasal,4,1,j,Palatale,1P+2N
俍,liang2,l,iang,Médiale-i,nasal,2,1,l,Dentale,3P
俎,zu3,z,u,Simple,oral,3,0,z,Sifflante,1P+2N
俏,qiao4,q,iao,Médiale-i,oral,4,0,q,Palatale,2P+1N
俐,li4,l,i,Simple,oral,4,0,l,Dentale,3P
俑,yong3,y,iong,Médiale-i,nasal,3,1,y,Semi-voyelle,2P+1N
俗,su2,s,u,Simple,oral,2,0,s,Sifflante,1P+2N
俘,fu2,f,u,Simple,oral,2,0,f,Labiale,2P+1N
俚,li3,l,i,Simple,oral,3,0,l,Dentale,3P
俛,mian3,m,ian,Médiale-i,nasal,3,1,m,Labiale,1P+2N
俜,ping1,p,ing,Médiale-i,nasal,1,1,p,Labiale,2P+1N
保,bao3,b,ao,Simple,oral,3,0,b,Labiale,1P+2N
俞,yu2,y,ü,Simple,oral,2,0,y,Semi-voyelle,2P+1N
俟,qi2,q,i,Simple,oral,2,0,q,Palatale,2P+1N
信,xin4,x,in,Médiale-i,nasal,4,1,x,Palatale,1P+2N
俣,yu3,y,ü,Simple,oral,3,0,y,Semi-voyelle,2P+1N
俤,di4,d,i,Simple,oral,4,0,d,Dentale,1P+2N
俦,chou2,ch,ou,Simple,oral,2,0,ch,Rétroflexe,3P
俨,yan3,y,ian,Médiale-i,nasal,3,1,y,Semi-voyelle,2P+1N
俩,liang3,l,iang,Médiale-i,nasal,3,1,l,Dentale,3P
俪,li4,l,i,Simple,oral,4,0,l,Dentale,3P
俭,jian3,j,ian,Médiale-i,nasal,3,1,j,Palatale,1P+2N
修,xiu1,x,iu,Médiale-i,oral,1,0,x,Palatale,1P+2N
俯,fu3,f,u,Simple,oral,3,0,f,Labiale,2P+1N
俱,ju4,j,ü,Simple,oral,4,0,j,Palatale,1P+2N
俳,pai2,p,ai,Simple,oral,2,0,p,Labiale,2P+1N
俴,jian4,j,ian,Médiale-i,nasal,4,1,j,Palatale,1P+2N
